🕘️更新时间,#genre#
2025-12-17 21:03:00,http://172.17.0.2:8000/hls/2875510491942030105

📺央视频道,#genre#
CCTV-6,http://172.17.0.2:8000/hls/2875510491942030105
CCTV-9,http://172.17.0.2:8000/hls/1033950854302428059
CCTV-13,http://172.17.0.2:8000/hls/-214304119383029672
CCTV-13,http://172.17.0.2:8000/hls/8875133585783992067
CETV-1,http://172.17.0.2:8000/hls/-8593508796824135434
CETV-1,http://172.17.0.2:8000/hls/5542542421833301747
CETV-1,http://172.17.0.2:8000/hls/-5950498342235602146
CETV-1,http://172.17.0.2:8000/hls/6824614765576494774
CETV-1,http://172.17.0.2:8000/hls/2215382846712213564
CETV-4,http://172.17.0.2:8000/hls/6340569567325562105
CETV-4,http://172.17.0.2:8000/hls/4085830701901849780
CETV-4,http://172.17.0.2:8000/hls/7392439761326531504
CETV-4,http://172.17.0.2:8000/hls/-3338631989432721614

💰央视付费频道,#genre#
文化精品,http://172.17.0.2:8000/hls/6739436465271026878
风云音乐,http://172.17.0.2:8000/hls/-5733154815404799644
第一剧场,http://172.17.0.2:8000/hls/2901517525420539521
第一剧场,http://172.17.0.2:8000/hls/569715849747125005
风云剧场,http://172.17.0.2:8000/hls/1026365404399137005
怀旧剧场,http://172.17.0.2:8000/hls/-5426702187863422810
怀旧剧场,http://172.17.0.2:8000/hls/7475685862858752863
怀旧剧场,http://172.17.0.2:8000/hls/8972057497673724514
高尔夫网球,http://172.17.0.2:8000/hls/8881728534673962854
高尔夫网球,http://172.17.0.2:8000/hls/3033162170435622915
高尔夫网球,http://172.17.0.2:8000/hls/6586803604817877603
电视指南,http://172.17.0.2:8000/hls/2499662379194395024
电视指南,http://172.17.0.2:8000/hls/-9105183737909359371
兵器科技,http://172.17.0.2:8000/hls/2189592761800249032
兵器科技,http://172.17.0.2:8000/hls/1289733291832844952

📡卫视频道,#genre#
浙江卫视,http://172.17.0.2:8000/hls/-3967366703094558814
湖南卫视,http://172.17.0.2:8000/hls/7518936033274066747
湖南卫视,http://172.17.0.2:8000/hls/-4331439704699280602
湖南卫视,http://172.17.0.2:8000/hls/6971254819421439048
湖南卫视,http://172.17.0.2:8000/hls/4596195128693760805
北京卫视,http://172.17.0.2:8000/hls/4066672803704949932
北京卫视,http://172.17.0.2:8000/hls/82690958781117914
重庆卫视,http://172.17.0.2:8000/hls/-9187781729132002881
四川卫视,http://172.17.0.2:8000/hls/5381110449361580031
四川卫视,http://172.17.0.2:8000/hls/-6730846502342190528
四川卫视,http://172.17.0.2:8000/hls/6027451994858115009
四川卫视,http://172.17.0.2:8000/hls/873429802529647410
新疆卫视,http://172.17.0.2:8000/hls/-5461623004336972988

☘️广东频道,#genre#

☘️浙江频道,#genre#
浙江生活,http://172.17.0.2:8000/hls/4267632089964379364
浙江教育,http://172.17.0.2:8000/hls/8940334849971074298
浙江民生,http://172.17.0.2:8000/hls/7867072954806217256
浙江新闻,http://172.17.0.2:8000/hls/-6956947298541670283
浙江新闻,http://172.17.0.2:8000/hls/-6562442707357608999
浙江少儿,http://172.17.0.2:8000/hls/4702354624272053124
浙江国际,http://172.17.0.2:8000/hls/-6413039880713830318
嘉兴新闻综合,http://172.17.0.2:8000/hls/-4581304850424894790
湖州新闻综合,http://172.17.0.2:8000/hls/7626881637091474509
湖州新闻综合,http://172.17.0.2:8000/hls/-604470461788820442
湖州新闻综合,http://172.17.0.2:8000/hls/-5907688117141370548
湖州新闻综合,http://172.17.0.2:8000/hls/-4676711176439161975
湖州文化娱乐,http://172.17.0.2:8000/hls/5189492111636082669
湖州文化娱乐,http://172.17.0.2:8000/hls/-5102020013743690426
湖州文化娱乐,http://172.17.0.2:8000/hls/8905120963651958312
青田电视台,http://172.17.0.2:8000/hls/-6626885582226118400
象山综合,http://172.17.0.2:8000/hls/-3026511204068448093
绍兴电视台公共,http://172.17.0.2:8000/hls/4920357122056424848
湖州公共民生,http://172.17.0.2:8000/hls/-4854244242718015321
海宁新闻综合,http://172.17.0.2:8000/hls/-8683224470509336246
海宁新闻综合,http://172.17.0.2:8000/hls/1263945881790454353
海宁新闻综合,http://172.17.0.2:8000/hls/-8169015628940341068
永嘉新闻综合,http://172.17.0.2:8000/hls/4099209874755306403
松阳综合,http://172.17.0.2:8000/hls/-1334677196016441524
庆元综合,http://172.17.0.2:8000/hls/-896116003613719239
庆元综合,http://172.17.0.2:8000/hls/-1674713676268849937
余姚综合,http://172.17.0.2:8000/hls/-214118780507633419
中国蓝新闻,http://172.17.0.2:8000/hls/8623395534122140405
上虞新商都,http://172.17.0.2:8000/hls/-9066157298803215697

☘️北京频道,#genre#
北京新闻,http://172.17.0.2:8000/hls/-5194257865636465593
北京生活,http://172.17.0.2:8000/hls/-1970176232916621399
北京科教,http://172.17.0.2:8000/hls/-2252625997661405439
北京青年,http://172.17.0.2:8000/hls/-1612470800539629812

☘️上海频道,#genre#
全纪实,http://172.17.0.2:8000/hls/-1454188762950858759
全纪实,http://172.17.0.2:8000/hls/-3044335760317075533
新闻综合,http://172.17.0.2:8000/hls/3703208369474893346
法治天地,http://172.17.0.2:8000/hls/-5964883023209853891
法治天地,http://172.17.0.2:8000/hls/3807942095579363559
法治天地,http://172.17.0.2:8000/hls/6620409933548969658
第一财经,http://172.17.0.2:8000/hls/-5485663076732846117
都市剧场,http://172.17.0.2:8000/hls/-9060433468310619556
都市剧场,http://172.17.0.2:8000/hls/-8507619223006226714
都市剧场,http://172.17.0.2:8000/hls/-428895244820066293
都市剧场,http://172.17.0.2:8000/hls/4016674218586182451
都市剧场,http://172.17.0.2:8000/hls/6618968592550148032
金山电视台,http://172.17.0.2:8000/hls/5924243293002332009

☘️重庆频道,#genre#
璧山综合,http://172.17.0.2:8000/hls/-6935178572939895791
铜梁综合,http://172.17.0.2:8000/hls/-3151994454296563754
铜梁综合,http://172.17.0.2:8000/hls/779819621103028527
重庆汽摩,http://172.17.0.2:8000/hls/-8697203768236220759
重庆汽摩,http://172.17.0.2:8000/hls/6270272115254334849
荣昌综合,http://172.17.0.2:8000/hls/7925842509833575652
潼南综合,http://172.17.0.2:8000/hls/-5295905041553666235
