🕘️更新时间,#genre#
2025-12-05 07:45:35,http://172.17.0.2:8000/live/6854198977032813498

📺央视频道,#genre#
CCTV-1,http://172.17.0.2:8000/live/6854198977032813498
CCTV-1,http://172.17.0.2:8000/live/5986566652634224156
CCTV-1,http://172.17.0.2:8000/live/-1727667240795585263
CCTV-1,http://172.17.0.2:8000/live/-8676073276816243437
CCTV-1,http://172.17.0.2:8000/live/-8470088590643759283
CCTV-2,http://172.17.0.2:8000/live/-2827806917265616032
CCTV-2,http://172.17.0.2:8000/live/-4449445719133276875
CCTV-3,http://172.17.0.2:8000/live/3283792841674546444
CCTV-3,http://172.17.0.2:8000/live/4195642584813125424
CCTV-4,http://172.17.0.2:8000/live/-1794966663297099922
CCTV-4,http://172.17.0.2:8000/live/-5920966891706518044
CCTV-4,http://172.17.0.2:8000/live/5051554313273568476
CCTV-4,http://172.17.0.2:8000/live/-323720795903919621
CCTV-4,http://172.17.0.2:8000/live/-4745896372355989773
CCTV-5,http://172.17.0.2:8000/live/3992998192115098374
CCTV-5,http://172.17.0.2:8000/live/-8534087237824378249
CCTV-5,http://172.17.0.2:8000/live/6850292360485039845
CCTV-5,http://172.17.0.2:8000/live/7747754466154809533
CCTV-5+,http://172.17.0.2:8000/live/4036998455028890398
CCTV-6,http://172.17.0.2:8000/live/1781097793767709342
CCTV-6,http://172.17.0.2:8000/live/2875510491942030105
CCTV-6,http://172.17.0.2:8000/live/7166321537141695613
CCTV-7,http://172.17.0.2:8000/live/4021795999661803905
CCTV-7,http://172.17.0.2:8000/live/3336832342688900736
CCTV-7,http://172.17.0.2:8000/live/1202767974468333326
CCTV-8,http://172.17.0.2:8000/live/4243196528840532106
CCTV-8,http://172.17.0.2:8000/live/7136186305897360474
CCTV-8,http://172.17.0.2:8000/live/40041193187704183
CCTV-9,http://172.17.0.2:8000/live/-1175168233796435229
CCTV-9,http://172.17.0.2:8000/live/5119765224520098599
CCTV-9,http://172.17.0.2:8000/live/-1693023816301473584
CCTV-9,http://172.17.0.2:8000/live/1544975999170739458
CCTV-10,http://172.17.0.2:8000/live/8330189166464620722
CCTV-10,http://172.17.0.2:8000/live/-7016181263016487223
CCTV-10,http://172.17.0.2:8000/live/1839189235607103051
CCTV-10,http://172.17.0.2:8000/live/1396908674942204638
CCTV-11,http://172.17.0.2:8000/live/-2257602655662350982
CCTV-11,http://172.17.0.2:8000/live/4398906058390012593
CCTV-12,http://172.17.0.2:8000/live/7609408674378215096
CCTV-12,http://172.17.0.2:8000/live/-458237109752956421
CCTV-13,http://172.17.0.2:8000/live/-214304119383029672
CCTV-13,http://172.17.0.2:8000/live/-8236019973376973355
CCTV-13,http://172.17.0.2:8000/live/8875133585783992067
CCTV-14,http://172.17.0.2:8000/live/-465499743221788164
CCTV-15,http://172.17.0.2:8000/live/2501357056815364274
CCTV-15,http://172.17.0.2:8000/live/-4145053387798032860
CCTV-16,http://172.17.0.2:8000/live/3998854001589282598
CCTV-17,http://172.17.0.2:8000/live/-1802037880498343364
